Brand,Model,Mileage,Year,Usage,Price

alfa-romeo,Giulia,3600,2020,Used,26995

alfa-romeo,Stelvio,2800,2021,Used,30405

alfa-romeo,Giulia,400,2022,Used,34800

alfa-romeo,Giulia,2700,2020,Used,22500

alfa-romeo,Giulia,38,nan,Used,40000

alfa-romeo,Giulia,43,nan,Used,40000

alfa-romeo,Giulia,71,nan,Used,40000

alfa-romeo,Stelvio,2500,2020,Used,27995

alfa-romeo,Giulia,5600,2017,Used,15995

alfa-romeo,Stelvio,3900,2021,Used,23251

alfa-romeo,Stelvio,1200,2022,Used,31995

alfa-romeo,Giulia,800,2022,Used,31000

alfa-romeo,Stelvio,4600,2022,Used,22300

alfa-romeo,Giulia,5000,2018,Used,21000

audi,A8,12500,2012,Used,10988

audi,Q5,2700,nan,Used,29278

audi,A8,15200,2007,Used,7900

audi,Q7,11500,2017,Used,15999

audi,S4,10300,2018,Used,19000

audi,Q5,6400,2021,Used,23500

audi,Q3,4800,2021,Used,15695

audi,Q5,9200,2018,Used,14999

audi,S8,1200,2020,Used,50972

audi,S8,8300,2014,Used,25995

